date,hour,t_a,h
22/09/2016,0,14.7,97
22/09/2016,0.5,14.6,97.2
22/09/2016,1,14.8,97.7
22/09/2016,1.5,14.3,97.3
22/09/2016,2,14.7,98.1
22/09/2016,2.5,14.9,98
22/09/2016,3,15.3,98.4
22/09/2016,3.5,14.9,98.2
22/09/2016,4,15.3,98.5
22/09/2016,4.5,15.4,98.4
22/09/2016,5,16,98.9
22/09/2016,5.5,16.6,98.8
22/09/2016,6,16.3,98.5
22/09/2016,6.5,15.8,98.4
22/09/2016,7,15.2,98.6
22/09/2016,7.5,16.5,99.3
22/09/2016,8,19,99.2
22/09/2016,8.5,19.7,98.5
22/09/2016,9,21.5,94.2
22/09/2016,9.5,23,81.6
22/09/2016,10,24.8,69
22/09/2016,10.5,25.3,65.2
22/09/2016,11,26.7,61.3
22/09/2016,11.5,28.3,54.7
22/09/2016,12,29,50
22/09/2016,12.5,29.2,49.6
22/09/2016,13,29.3,48.9
22/09/2016,13.5,29.5,48.2
22/09/2016,14,29.3,49.1
22/09/2016,14.5,30.2,46.1
22/09/2016,15,29.6,47.7
22/09/2016,15.5,28.3,51.2
22/09/2016,16,28.3,51.6
22/09/2016,16.5,27.6,53.3
22/09/2016,17,27,55.7
22/09/2016,17.5,26.2,60.2
22/09/2016,18,25.4,68.5
22/09/2016,18.5,23.8,73.4
22/09/2016,19,22,79.5
22/09/2016,19.5,20.6,83.5
22/09/2016,20,19.8,87.6
22/09/2016,20.5,19.4,90.5
22/09/2016,21,19.2,91.8
22/09/2016,21.5,19,92.8
22/09/2016,22,19.1,93.9
22/09/2016,22.5,19.1,94.6
22/09/2016,23,19,94.9
22/09/2016,23.5,19,95.2
