month,LAI,FAO ETo,HamonPET,Priestley-TaylorPET,P,VPD,Rn,SWC,Ta
1,0,14.26,15.5,-3.01,38,0.147315912,-0.874522293,27.59643411,-3.048647979
2,0,24.65,20.3,15.93,42,0.166336939,27.20459433,27.03849068,-1.529237317
3,0.17,64.79,37.2,58.8,83,0.336293891,78.73256972,27.89573839,5.310992057
4,0.18,74.4,48,68.24,73,0.548113361,94.99692805,28.95811005,8.007630076
5,0.2,137.02,86.8,137.44,96,0.914076526,149.0930901,28.75700474,15.98605217
6,0.33,153.3,120,160.42,46,1.147594221,163.7003075,38.66038403,21.17311114
7,1.26,164.61,133.3,185.42,115,0.949682587,174.6942812,70.67581159,23.16741944
8,1.89,164.3,127.1,198.99,173,0.841232082,185.7662862,74.56889371,23.64737375
9,1.2,111.3,90,120.45,70,0.668298839,125.3466724,74.33064389,19.65871091
10,0.45,60.14,55.8,56.98,85,0.395833769,66.43356106,76.90752769,13.24584484
11,0.28,40.5,36,26.4,58,0.324238309,33.20914397,74.08977603,7.611702562
12,0,10.54,15.5,-2.95,72,0.105232889,0.221179884,81.06774712,-2.38946586
